2.39;162.67;160;160.20;170.76;11448
150.99;435.57;165.67;160;170.44;210.53;11448
157.59;459.74;167.33;160;167.23;196.64;11356
162.73;472.37;169.33;160;159.94;169.92;11352
164.10;474.65;170.67;160;157.15;161.25;11340
164.11;474.43;167.33;160;156.93;160.60;11352
163.42;471.51;166.67;160;156.96;160.70;11348
162.63;469.29;166.33;160;157.89;163.47;11348
162.30;468.59;162.33;160;158.44;165.16;11352
161.58;465.58;162.00;160;158.49;165.29;11360
160.82;463.57;162.67;160;159.45;168.33;11340
160.73;463.80;159.67;160;159.95;169.94;11348
160.39;462.07;160.33;160;159.72;169.19;11448
160.04;461.35;161.67;160;160.34;171.21;11452
160.03;461.50;161.67;160;160.47;171.63;11344
160.34;462.74;159.00;160;160.43;171.50;11456
160.15;461.37;160.33;160;159.97;169.99;11448
159.94;461.16;162.00;160;160.53;171.83;11344
160.33;462.85;160.00;160;160.53;171.85;11340
160.38;462.31;161.33;160;159.93;169.88;11360
160.33;462.47;162.67;160;160.25;170.91;11352
160.68;463.89;160.00;160;160.17;170.66;11368
160.53;462.59;161.33;160;159.66;169.00;11360
160.32;462.38;162.67;160;160.21;170.77;11340
160.65;463.79;160.00;160;160.21;170.78;11384
160.52;462.57;161.33;160;159.69;169.08;11428
160.32;462.39;161.33;160;160.21;170.78;11348
160.42;462.77;162.67;160;160.18;170.67;11460
160.73;463.99;160.00;160;160.09;170.38;11460
160.53;462.57;161.00;160;159.64;168.94;11336
160.25;462.09;162.00;160;160.21;170.77;11340
160.46;463.11;160.00;160;160.29;171.04;11344
160.38;462.23;161.00;160;159.90;169.76;11332
160.24;462.13;162.00;160;160.27;170.99;11352
160.49;463.19;160.00;160;160.26;170.96;11348
160.39;462.26;161.00;160;159.87;169.68;11340
160.24;462.12;162.00;160;160.27;170.97;11340
160.49;463.18;160.00;160;160.27;170.97;11412
160.39;462.26;160.00;160;159.88;169.69;11340
160.07;461.35;161.33;160;160.25;170.90;11444
160.18;462.18;162.67;160;160.51;171.77;11456
160.68;463.96;160.00;160;160.22;170.81;11348
160.56;462.67;161.33;160;159.63;168.90;11336
160.33;462.40;162.67;160;160.18;170.69;11356
160.65;463.78;160.00;160;160.21;170.77;11364
160.52;462.56;161.00;160;159.69;169.09;11332
160.26;462.13;162.00;160;160.20;170.76;11352
160.47;463.12;160.00;160;160.28;171.00;11352
160.38;462.23;161.00;160;159.89;169.75;11328
160.24;462.12;162.00;160;160.27;170.99;11424
